order_id,customer_id,order_date,order_amount,status
1bab677c-7f41-4148-91cb-2d64e7df804a,CUST0477,2026-01-01T00:00:00,778.6,processing
8196529d-0997-4ad6-b265-08272735f44a,CUST0082,2026-01-01T00:07:00,4324.13,completed
b86f1ad6-c34a-49dd-97e5-6b19b758db0a,CUST0332,2026-01-01T00:14:00,3371.0,cancelled
98da15bb-2e79-4651-98d9-61ef8bdd0ab7,CUST0398,2026-01-01T00:21:00,2835.99,refunded
60ed4db4-7b39-421e-8127-c9370429f9e4,CUST0155,2026-01-01T00:28:00,4129.64,processing
9b9c62bd-b792-4b4e-9c2f-aeab69255831,CUST0127,2026-01-01T00:35:00,1951.26,cancelled
46729cee-a10f-40ea-a02d-2093e518e248,CUST0180,2026-01-01T00:42:00,2934.46,pending
eb2242a7-959c-4983-8f6a-04578e72c684,CUST0058,2026-01-01T00:49:00,3657.41,processing
72673a9c-7765-4690-8729-ff1dc051ba41,CUST0151,2026-01-01T00:56:00,2939.19,pending
2c9239a7-eca1-4e16-8aec-432daefb795d,CUST0278,2026-01-01T01:03:00,2791.48,refunded
3d9e60fa-580f-4135-8b5a-45950c040292,CUST0345,2026-01-01T01:10:00,2139.25,processing
3a1b8dd7-06e5-4616-bb51-9312b514adb4,CUST0013,2026-01-01T01:17:00,2192.34,processing
b71bff92-db99-45f1-bd8a-c97cec01febc,CUST0369,2026-01-01T01:24:00,3798.93,completed
57b036ef-0d3f-40b6-9a95-289ee1bd0373,CUST0397,2026-01-01T01:31:00,666.75,completed
52fa58b2-bc21-4546-bd90-fb201c8b5cbe,CUST0041,2026-01-01T01:38:00,374.49,cancelled
77d1802f-a59e-4c12-9d63-b19e7397b1a7,CUST0435,2026-01-01T01:45:00,592.06,cancelled
33da6303-12b4-4e6f-82b8-c46e5cbe69df,CUST0167,2026-01-01T01:52:00,4898.78,cancelled
43af848f-4239-4065-ad98-79225d0cc3f4,CUST0096,2026-01-01T01:59:00,4581.75,refunded
fa9b48df-9112-4285-b65c-1cf58e7a9092,CUST0250,2026-01-01T02:06:00,4222.43,processing
c361a7cd-9007-4171-91e4-d554e4858157,CUST0148,2026-01-01T02:13:00,1218.26,cancelled
6b9f63ac-2d3f-4dfe-8291-4fca8080c377,CUST0100,2026-01-01T02:20:00,1866.19,processing
a75e48be-e3d5-464c-a4b2-344540bbf6b6,CUST0208,2026-01-01T02:27:00,1245.92,processing
523ca4c7-dac2-4e6c-a07f-84f06b52a8ac,CUST0152,2026-01-01T02:34:00,4599.55,cancelled
9cc926ba-0eb6-49cc-b391-11a75a17c477,CUST0222,2026-01-01T02:41:00,1519.03,processing
60fdd0f6-77c6-464e-bd35-3cab89ac3b91,CUST0233,2026-01-01T02:48:00,1088.58,processing
0fff294c-d476-4458-ab0a-dc60bf1a660d,CUST0251,2026-01-01T02:55:00,638.79,completed
62efde99-aae0-4c68-bafc-96d9366feccd,CUST0061,2026-01-01T03:02:00,2895.48,completed
e7e4f75d-edba-4226-a5a0-1078ca019b34,CUST0060,2026-01-01T03:09:00,2277.75,pending
413db158-0bf5-4423-b7ab-37610f30a7af,CUST0053,2026-01-01T03:16:00,4896.05,refunded
4d326336-ae6b-4231-8cec-f28a682abd67,CUST0432,2026-01-01T03:23:00,2162.96,pending
02b5b10d-bb72-4a0c-8ab8-238f19df2fd9,CUST0378,2026-01-01T03:30:00,3923.17,refunded
e7ccbda3-35b3-4276-9a94-c3b6722b5772,CUST0272,2026-01-01T03:37:00,2343.2,completed
29ce11d4-4528-44b5-81be-55a034aede7a,CUST0161,2026-01-01T03:44:00,1078.26,completed
90ee3571-9948-44d7-a949-58ce762d8e74,CUST0075,2026-01-01T03:51:00,1184.67,processing
785400db-b07f-448d-b13a-5c23bf4095d6,CUST0467,2026-01-01T03:58:00,1012.81,completed
c47def10-c066-4ebe-a055-382fc319cd17,CUST0216,2026-01-01T04:05:00,538.91,refunded
d60fc66f-3cb6-4ff0-95bf-2183fc0f1366,CUST0103,2026-01-01T04:12:00,2409.56,processing
f66f7f22-5745-4e20-886a-768f46063eb2,CUST0081,2026-01-01T04:19:00,2007.54,pending
3386d136-1fdd-4acd-8e65-417f28685924,CUST0088,2026-01-01T04:26:00,3224.89,cancelled
38b0de11-117e-4cdd-909d-91a756a366c8,CUST0078,2026-01-01T04:33:00,3818.67,processing
c3f8b18a-7105-4073-9bac-c5b403473aa2,CUST0038,2026-01-01T04:40:00,1817.94,refunded
c8af74e4-835c-4f14-aae8-ddec3dd08656,CUST0249,2026-01-01T04:47:00,2874.76,pending
8e1d218e-8e75-42da-927f-8cd8f9ca83a2,CUST0396,2026-01-01T04:54:00,916.73,completed
30afdd05-f8f9-4ca3-b926-cccff1703d46,CUST0151,2026-01-01T05:01:00,1830.97,pending
32f4b9b9-e3aa-466e-8f5d-bdad793846bf,CUST0413,2026-01-01T00:06:00,-50,pending
c1a34485-2e91-48ae-ac43-34b91b3232dc,CUST0331,2026-01-01T05:08:00,3123.56,cancelled
12406453-860d-4dcc-89f2-26c5dea08686,CUST0115,2026-01-01T05:15:00,3863.69,refunded
eb428ac4-e935-473c-ae5b-850e980f67b7,CUST0389,2026-01-01T05:22:00,4822.08,cancelled
538ac27f-cf4b-4242-b781-33ab23dac8d5,CUST0495,2026-01-01T05:29:00,3947.62,refunded
e1ee03ed-77f7-4bc6-b7ab-7369724f90eb,CUST0124,2026-01-01T05:36:00,3903.26,pending
173a3f7a-728a-43c9-a8a5-06720f000f38,CUST0432,2026-01-01T05:43:00,1855.02,refunded
9086c0d8-d3db-4529-86dd-f2bba8fb58ba,CUST0092,2026-01-01T05:50:00,1769.92,cancelled
cb96711d-701a-4e3c-9a3e-bc4dd24c8d4c,CUST0448,2026-01-01T05:57:00,4500.59,refunded
5b5ffae7-198e-49d7-8f66-8110be99fabb,CUST0312,2026-01-01T06:04:00,4571.69,pending
b1cf750f-4666-4f5e-98d2-2c1bff1759d4,CUST0384,2026-01-01T06:11:00,666.48,completed
f899f8cc-b127-4927-821e-3d60c550d1ed,CUST0464,2026-01-01T06:18:00,159.41,refunded
626ce943-c4cc-4935-bf35-1197bd143465,CUST0118,2026-01-01T06:25:00,1960.37,refunded
cd2f2f18-1b88-4179-9c02-dd8716f27cd4,CUST0170,2026-01-01T06:32:00,4939.6,pending
c0a608a7-e64a-4f55-89ad-ab97cac3758b,CUST0070,2026-01-01T06:39:00,2395.57,processing
f153d01f-bb50-44c0-bc41-210b60799013,CUST0252,2026-01-01T06:46:00,655.95,processing
ea2e6bab-8eef-49d7-9ef8-4f3d3d0dbd6a,CUST0188,2026-01-01T06:53:00,3466.83,refunded
